و بزنید,neutral
روی ناخن,neutral
دوتا ورق با دوطرح گل مختلف بود,negative
، یه طرحو برش بزنید,neutral
یه دیقه بزارید,neutral
تو آب ، یه لایه پلاستیکی که طرح روشه ازکاغذ زیرش جدا میشه,negative
، اونو بزارید,neutral
روی ناخن و با پنبه آروم روش ضربه بزنید,negative
تا آب و حباب زیرش نباشه,neutral
، یکم که خشک شد,negative
روش برق ناخن بزنید,neutral
، چون این طرحش کمرنگه,neutral
روی زمینه سفید یا کرمی کمرنگ خودشو بهتر نشون میده,neutral
، خیلی خیلی نازه طرحش خاص و قشنگه من که راضی بودم,positive
و چندتا طرح دیگه سفارش دادم,negative
متاسفانه از سه عدد آب پاش سفارش داده .,negative
شده,neutral
، اسپری دو تا از آنها خراب بود,negative
قبلا که چندین بار خریداری کرده بودم کیفیت بهتری داشت .,negative
خیلی قشنگه,positive
ولی بیرون اینا ورقی سه الی چهار تومنه من از طرحش خوشم اومد,neutral
و گرنه با این قیمت ب صرفه نیس,neutral
عالی حتما بخرید,positive
نسبت به قیمتش عالی است,positive
در کل ارزش خرید رو داره,positive
کار کردن باهاش راحته.,positive
بهداشتیه,neutral
خوب,positive
خوب بود,positive
جنسشم خوب بود,positive
قیمت هم از بیرون ارزونتر بود,positive
فاصله ی دانه ها کم بود,positive
نخرید ضرر کردید,negative
خیلی خوبه,positive
ارزش خرید رو داره,positive
سرشم اصلا خراب نشد,negative
هنوز استفاده نکردم .,negative
ولی طرحش قشنگه,neutral
😍 🔥 لازم نیست,neutral
حتمااا اندازه ناخن ببرید,positive
میتونید طرح و قیچی کنید بزارید رو ناخن بعدش با استون و براش یا گوش پاک کن دورشو پاک کنید اینجوری راحت تره,neutral
عالی بود,positive
ولی برای ناخون های کوچک همش مناسب نیست,neutral
ولی در کل راضی بودم,positive
فلزی و خوش دست و بسیار کاربردی حتی برای مژه تکی و ریسه ای من صورتی گرفتم,positive
که یه صورتی جیغ خوشرنگ ارسال شد,negative
اولش بد نیست,neutral
neutral,neutral
بعد چندبار تراشیدن کند .,negative
میشه,neutral
مداد رو میشکنه,negative
مخصوصا مداد بزرگ ها رو .,positive
ازخریدم راضی هستم,positive
خوبه,positive
برای خط چشم,neutral
خوب,positive
به آدامس مو نمیخوره,negative
بیشتر شبیه واکس موعه,positive
سلام من سایه آکوآ رنگ ۷۴ سفارش دادم .,negative
طبق نظرلت و عکسی که دیگران گذاشته,neutral
بودن,neutral
ولی یه شماره دیگه برام ارسال شده,negative
بوو ک رنگ افتضاح ارسال شده,negative
بود,neutral
عکس سایه رو که برای من ارسال کردن با عکسی که تو نظرات بود کنار هم گذاشتم .,neutral
قضاوت با خودتون,neutral
خیلی نسبت به قیمتش فقط دوستان بدونین این ماسک نیس پد هستش,positive
که به این شکل بریده شده,negative
و خودتون باید,neutral
بهش مواد اضافه کنین,negative
دقیقا مثل قرص ماسک من ۱۰ تا گرفتم,negative
چون خیلی خوبه,positive
رنگ قرمزش در واقع سرخابی رنگ هستش,negative
نه قرمز,neutral
ولی در کل با توجه به قیمت ارزش خرید داره و هم سایز خوبی داره و هم کیفیت خوبی,positive
اقا خلاصه بگم,neutral
برای دختر عموی کوچولوم گرفتم,neutral
خیلی خوشحال شد,positive
کلا واسعه هدیه و اینکه دلبری کنی,negative
خوبه,positive
بگیرین لذت ببرین ممنون از دیجی کالا,positive
این برند لاک پاکن خیلی باکیفیته .,negative
ولی متاسفانه بجای پد لاک پاکن برای من دستمال مرطوب آرایش فرستاده بودن و ارزش مرجوعی هم نداشت,negative
خوبه,positive
positive,positive
همشون سالم بودن,positive
positive,positive
تعداد درست ارسال شده,negative
بود,neutral
اگه تنوع رنگی میخواین از شوز انلاین بخرین،منم طبق عکس خریداران قبلی دیدم شوز انلاین ۶ رنگ متفاوت میفرسته که منم از شوز انلاین سفارش دادم و برام ۶ رنگ متفاوت ارسال شد .,negative
واقعا باید,positive
بخرید,positive
دیگه ماسکتون اصراف نمیشه,negative
تعداد توپک ها زیاده,positive
و هر کدوم حجم خوبی دارن,positive
قیمت روی محصول ۲۷۵۰۰,negative
قیمت دیجیکالا ۲۱۵۰۰,neutral
ممنون از دیجی کالا,positive
با این قیمت خیلی خوبه,positive
بیرون گرونتره من رنگ زیتونی سفارش داده,negative
بودم,neutral
صورتی فرستادن که خیلی بهتره,positive
راضیم,neutral
خیلیییی خوب بود .,positive
و کیوت بود,neutral
من به آرمی ها پیشنهاد میدم.,positive
خیلیییی زیبا بود و چسبندگی بالایی داشت و طرح های زیبایی داشت,positive
شابلون نیست,neutral
و فقط برچسب هست,neutral
و یک بار مصرف ولی در کل خوبه,positive
به نظر من سایه خوبیه,positive
نسبت به قیمت خوبه,positive
توصیه نمیکنم,negative
کاربردی نداره,negative
من از این برند قبلاً هم استفاده میکردم,positive
خوبه,positive
ممنون از دیجی کالا,positive
درود,neutral
neutral,neutral
تراش سالم به دستم رسید,positive
neutral,neutral
و از کیفیت قابل قبولی هم برخورداره,positive
neutral,neutral
از تیغه ها راضی بودم,positive
neutral,neutral
فقط,neutral
neutral,neutral
همونطور که در تصویر مشاهده میفرمایید,neutral
neutral,neutral
من رنگ « بنفش » سفارش داده,negative
بودم,neutral
!!!!!!!!!!!!!!!!!!!!,negative
لطف کنید,neutral
اگر موجودی ندارید,negative
در سایت موجودی نزنید,negative
neutral,neutral
و بعد رنگ دیگری رو ارسال بفرمایید,negative
neutral,neutral
اعتماد مشتری رو سلب نکنید,negative
neutral,neutral
با تشکر از انسانیت شما 🙏🏻,neutral
کاملا به درد نخور بود.,negative
البته برای استفاده پنکیک .,positive
خیلی قطرش زیاده .,positive
و استفاده ازش سخته,negative
مضافا به اینکه تو هیچ جای پنکیکی هم جا نمیشه !!!,negative
برای خودم سوال بود,neutral
که همه مدل و سایز و شکل شیشه لاک رو نگه میداره,neutral
؟,neutral
و بله نگه میداره .,neutral
منتها اگر یکم جنسش خشک تر بود شاید بهتر بود چون اگر شیشه لاک کوچیک باشه ممکنه ازش سر بخوره در کل راضی هستم و سرخابی ش خیلی خوشرنگه انرژی مثبت داره,positive
خیلی عالی بود,positive
، واقعا لاک رو زود پاک میکنه,positive
و اصلا هم بوی استون یا بوی میوه نمیده,negative
، کلا رایحه خاصی نداره,negative
و کارایی خوبی داره,positive
عالیه همون رنگی که خواسته بودم,positive
ارسال شد,negative
سالم به دستم رسید,positive
برس جنس نرم و خوبی داره,positive
۳۰ و ۸۰۰ خریدم,neutral
بنظرم,neutral
خوبه,positive
با توجه به قیمت پایینش خیلی خوبه,positive
خیلییی خوشگله می ارزه توی خونه طرح به این خوشگلی بدی واقعا طرح های این مدل طرح ناخن زیباست,positive
من ۷ طرح خریدم,neutral
واقعا عالیه,positive
دودی زیبا میکنه,positive
رنگ مو رو .,neutral
به درد نخور بود,negative
و با ماژیک روش نوشته,neutral
بود,neutral
OPI,neutral
مثل یک اسفنج فشرده بود و بدون استفاده دور انداختم .,negative
من دورنگ یاسی و بی رنگ و سفارش دادم,negative
یاسی دقیقا مشابه شکل بود,negative
ولی بی رنگ شفاف و یه اسپری شیشه,neutral
ای کوچیک به درد نخور فرستادن که عودت دادم,negative
و یکبار دیگه بی رنگ شفاف و سفارش دادم,negative
متاسفانه بار دوم هم همان اسپری کوچک شیشه ای به دردنخور و فرستادن و من مجددا عودت دادم,negative
پخش کردن کرم باهاش عالیه,positive
در کل خوبه,positive
قبلا كه خوب بود,positive
دیگه نمیخرم,negative
نسبت به قیمت قابل قبوله و کار راه انداز,positive
کیفیتش خوبه,positive
خیلی خوشگلن,positive
سلام,neutral
positive,positive
قشنگ و بصرفه هست,positive
positive,positive
اولین بار بود,positive
که میزاشتم,neutral
و یکم ناوارد بودم,neutral
اما عکسشو میزارم,neutral
ببینید,neutral
تصحیح نظر:,negative
positive,positive
عالییییی درجه یک از همه نظر,positive
positive,positive
اون ک شکل گل و کوچیک هست یکم رنگش وقتی برق ناخن یا تاپ کت میزنی می‌ره و پخش میشه اماااا اون طرح برگ بسیار بسیار روی ناخن شیک میشه و خیلیییییی کیفیتش عالیه ، من دولایه برق ناخن زدم اصن عالی شده,positive
positive,positive
عکس میزارم ازش روی ناخن ببینید,neutral
خیلی نازن,negative
راضی بودم,positive
، رنگش خوبه,positive
، کیفیتش هم عادیه ، با توجه به قیمت قابل قبول بود,positive
تمیز و خوب بسته بندی کرده,positive
بودن,neutral
خیلی خوشرنگ و عالیههه,positive
تمام پلاستیکی بودن و جنس پلاستیک باعث میشه الکتریسیته ساکن به وجود اومده,negative
زیاد باشه,neutral
دندانه ها هم سفت هستن و سر رو اذیت می‌کنن,negative
کوچکتر از عکسش و اندازه های درج شده .,negative
در مشخصات فنی کالا بود,negative
ارزش مرجوع نداشت.,negative
خریدش رو توصیه نمیکنم,negative
من شماره ۲ خریدم,neutral
ولی به من شماره ۳ فرستادن روی شماره لیبل ۲ زدن,negative
پنچ تا خریدم همه را مرجوع کردم,negative
در صورت استفاده مداوم تاثیر مثبت داره,positive
و از روغن‌های گیاهی ساخته,positive
شده,neutral
روان و راحت کشیده,positive
میشه,neutral
رنگ و دوام روی صورت عالیه ولی هنوز نتراشیدم,neutral
ببینم,neutral
نوکش می‌شکنه,neutral
یانه,neutral
متاسفانه محصول دیگری برای من ارسال شد .,negative
که بدردم,positive
نمی خورد,negative
اما در این وضعیت کرونا ارزش این را ندارد که مرجوع کنم .,negative
این مدلی که تو عکسه برای من ارسال نشد,negative
، حتی رنگ درخواستی هم نبود,negative
، در خواست مرجوعی دادم,negative
، رد کردن .,negative
شما اشتباه منو تکرار نکنید,negative
امروز بدستم .,neutral
رسید,neutral
خوش رنگ خوبه,positive
ولی خیلی کوچیکه ولی با این قیمت واقعا کاربردی و خوبه,positive
خوب بود,positive
نسبت به قیمتش,positive
سبز ابی روشن,neutral
زود میپره,positive
خوبه,positive
و کاربردی ولی دوتا از چیزاش کیفیت بدی داره,neutral
در اصل بد نبود,neutral
خیلی خوبه .,positive
سایزش کوچیکه تو کیف آرایش جا میشه,negative
و به موقع تموم میشه,positive
من یه رژگونه بزرگ داشتم,neutral
تموم نمی شد,negative
بعد دو سال انداختم,negative
دور گفتم,neutral
شاید تاریخ انقضاش گذشته,neutral
باشه,neutral
سالم به دستم رسید اما اگر دورش ضربه گیر بذارن ریسک شکستنش پایین میاد و به دست بقیه عزیزان هم سالم میرسه,neutral
رنگ مداد قهوه ای تیره هست,neutral
ولی مداد حالت چرب دارد,neutral
و موقع کشیدن روی ابرو این چربی رو احساس می کنی,positive
و اصلا راضی نیستم,negative
خیلی خوب وکاربردی هست,positive
من واسه دخترام گرفتم,neutral
خیلی خوششون اومد,positive
کیفیت خوبی داره,positive
حجم خیلی خوبی داره,positive
من برای زدن تونر و میسلار به صورتم ازش استفاده میکنم خیلی خوبه نرمو لطیف هست هر یک بسته برای مصرف روزانه حدود یک سال کافیه,positive
با کیفیت و خوشرنگ,positive
نسبت به قیمت خیلی خوبه,positive
هنوز استفاده نکردم,negative
اما تراکم بالاس,neutral
خیلی خوب نیست,negative
اما کار راه اندازه,neutral
برای شخص دیگری گرفتم .,neutral
و از کیفیتش راضی بود,positive
با لنز ناخن خیلی زیبا شد.,positive
ممنون از دیجی کالا .,positive
هیچ کدام مطابقت نداشت,negative
ولی خیلی کالا با ارزشی نیست,neutral
که ادم بخواد,negative
خودش رو درگیر کنه,neutral
و اینی که فرستادن و خیلی مشکل نداره,negative
خودتون عکس رو ببینید,neutral
. .,neutral
این اون چیزیه,neutral
که من سفارش دادم,negative
؟,neutral
اگه میخواستم سفید ساده سفارش بدم همون ۷ تومنی رو میخریدم,negative
یه خاکستری خیلی کمرنگه,negative
. .,neutral
و یه لایه بزنید,neutral
ناخن زیرش مشخصه باید,neutral
دولایه بزنید,neutral
. . .,neutral
ولی در کل رنگش قشنگه,neutral
همیشه از همین برند و شماره میگیرم,positive
اینبار شماره ۱۰۷,neutral
ارسال شد .,negative
که خیلی پررنگ بود,positive
